1TOY-1C6B0F;ToyStory;1 de JULIO - 17:00;Sala 5;B12;Efectivo (Mostrador);6.0
INT-6FC720;Interestellar;1 de JULIO - 14:00;Sala 2;A1;Efectivo (Mostrador);6.0
TOY-7993E8;ToyStory;1 de JULIO - 17:00;Sala 5;B13;Efectivo (Mostrador);6.0
TOY-111E19;ToyStory;1 de JULIO - 14:00;Sala 1;A1, A2;Tarjeta;6.0
TOY-9A62F2;ToyStory;1 de JULIO - 14:00;Sala 1;B8;Efectivo (Mostrador);6.0
TOY-567A3E;ToyStory;1 de JULIO - 14:00;Sala 1;B10;Tarjeta;6.0
SOY-5A680D;Soy leyenda;1 de JULIO - 14:00;Sala 7;A8;Efectivo (Mostrador);6.0
EVI-11CF60;Evil Dead Burn;1 de JULIO - 14:00;Sala 3;A1, A2;Efectivo (Mostrador);6.0
EVI-540E2B;Evil Dead Burn;2 de JULIO - 20:00;Sala 11;A16;Efectivo (Mostrador);6.0
MIN-7EF898;Minions & Monstruos;6 de JULIO - 17:00;Sala 8;A15;Tarjeta;6.0
